"partner_id","odoo_name","oracle_name","ccode","odoo_balance","oracle_balance","difference"
"1782","ZIP","ZIP","14","3417290","55905","3361385"
"1682","M.A Autos UP","M.A AUTO UP","222","30380","353613.5","-323233.5"
"1712","Noorani Autos Badin","NOORANI AUTOS BADIN","53","0","221350","-221350"
"1679","M Umer Badeen","M UMER BADIN","150","302800","492760","-189960"
"1595","Asgher Autos UP","ASGHER AUTO UP","157","279300","119300","160000"
"1730","Rajput Autos Sabri Chowk","RAJPUT AUTO SABRI CHOWK ORANGI","112","38900","190180","-151280"
"1736","Retail Sale","RETAIL SALE","1","0","145825","-145825"
"1598","Aslam Autos Maripur","ASLAM AUTOS MARIPUR","98","23600","165950","-142350"
"1623","F.A Autos Thatta","F.A AUTOS THATTA","34","-1780","133220","-135000"
"1884","Shahzad Auto Gawadar","SHAHZAD AUTO GAWADAR","320","90677.75","209237.75","-118560"
"1590","Amjad Noor","AMJAD NOOR","23","-9305","105155","-114460"
"1875","Makran Auto Turbat","MAKRAN AUTO TURBAT","323","114760","760","114000"
"1734","Raza Autos Korangi","RAZA AUTOS KORANGI","58","-41880","63900","-105780"
"1602","Azan Autos Jimmy Landhi","AZAN AUTOS JIMMY LANDHI","26","-3050","102072.5","-105122.5"
"1584","Ali Autos Islam Chowk","ALI AUTOS ISLAM CHOWK","20","-53064","47185","-100249"
"1674","Khataomal Pangrio","KHATAOMAL PANGRIO","42","243500","143500","100000"
"1775","Waqas Autos Islam Chowk","WAQAS AUTOS ISLAM CHOWK","69","423291.5","513681.5","-90390"
"1687","Madina Auto Al-Asif Square","MADINA AUTO AL-ASIF SQUARE","204","132490","45990","86500"
"1732","Rana Autos Landhi","RANA AUTOS LANDHI","57","436399","358399","78000"
"1669","Kazim Auto Bagh-e-Korangi","KAZIM AUTO BAG E KORANGI","243","29690","104236.25","-74546.25"
"1592","Arif Autos Landhi","ARIF AUTOS LANDHI","68","198350","272351","-74001"
"1601","Azan Auto Badin","AZAN AUTO BADIN","25","183850","113001","70849"
"1639","Hamza Khan Autos Orangi Town","HAMZA KHAN AUTOS ORANGI TOWN","71","43570","114280","-70710"
"1753","Sheikh Auto Pehalwan Goth","SHEIKH AUTO PEHALWAN GOTH","149","27640","97640","-70000"
"1666","Junaid Autos Shah Faisal","JUNAID AUTO SHAHFAISAL","153","20273","85663.5","-65390.5"
"1760","Sumair Autos Golimar","SUMAIR AUTO GOLIMAR","156","21900","84644.6","-62744.6"
"1826","Noor Autos Jhuddo","NOOR AUTO JHUDDO","264","57730","0","57730"
