"ccode","oracle_name","odoo_name","match","fuzzy_score","oracle_balance","odoo_balance","difference","known_mgr_diff","classification","last_activity","user_note"
"1","RETAIL SALE","Retail Sale","exact","","145825","0","-145825","","NEW","2026-07-15",""
"14","ZIP","ZIP","exact","","55905","3417290","3361385","","NEW","2026-07-31",""
"17","AHMED RAZA AUTOS REHMANIA MOR","Ahmed Raza Autos Rehmania Mor","exact","","12210","21210","9000","0","NEW","2026-07-24",
"20","ALI AUTOS ISLAM CHOWK","Ali Autos Islam Chowk","exact","","47185","-53064","-100249","0","NEW","2026-07-07",
"23","AMJAD NOOR","Amjad Noor","exact","","105155","-9305","-114460","-15855","NEW","2026-04-28",
"24","AYAN AUTOS CLIFTON","Ayan Autos Clifton","exact","","31094","-2436","-33530","","NEW","2026-03-18",""
"25","AZAN AUTO BADIN","Azan Auto Badin","exact","","113001","183850","70849","5950","NEW","2026-08-01",
"26","AZAN AUTOS JIMMY LANDHI","Azan Autos Jimmy Landhi","exact","","102072.5","-3050","-105122.5","-24000","NEW","2026-07-20",
"27","B.S BAKHTAWAR GOTH","B.S Bakhtawar Goth","exact","","0","0","0","0","AGREES","2026-07-13",
"28","SHOAIB AHMED ZIP 1","Shoaib Bhai ZIP 1","name_map","","9500","10000","500","0","NEW","2026-06-12",
"29","BILAL WHEEL THROUGH SACHAL","Bilal Wheel Through Sachal","exact","","0","0","0","","AGREES","2026-02-02",""
"32","DAWOOD SULTAN AUTOS ORANGI TOW","","","","5600","","","","NOT IN ODOO","2026-06-16",""
"34","F.A AUTOS THATTA","F.A Autos Thatta","exact","","133220","-1780","-135000","","NEW","2026-04-04",""
"36","HADIA K1 NORTH NAZIMABAD","Hadia K1 North Nazimabad","exact","","79210","48350","-30860","3250","NEW","2026-07-27",
"37","HANIF SUPPLIER","Hanif Supplier","exact","","28336","-8914","-37250","","NEW","2026-02-02",""
"38","IBRAHIM KORANGI (SHOAIB)","Ibrahim Korangi (Shoaib)","exact","","0","0","0","","AGREES","2026-03-30",""
"42","KHATAOMAL PANGRIO","Khataomal Pangrio","exact","","143500","243500","100000","37000","NEW","2026-07-14",
"46","MARHABA AUTOS ORANGI DUA CHOWK","Marhaba Autos Orangi Dua Chowk","exact","","0","0","0","","AGREES","2026-01-06",""
"47","MASHOOD SUPPLIER","Mashood Supplier","exact","","3800","0","-3800","","NEW","2026-07-11",""
"51","NEW KAKAR AUTOS PIDC","New Kakar Autos PIDC","exact","","109350","133750","24400","0","NEW","2026-07-31",
"52","NOOR AUTOS QUAIDABAD","Noor Autos Quaidabad","exact","","0","0","0","","AGREES","2026-06-08",""
"53","NOORANI AUTOS BADIN","Noorani Autos Badin","exact","","221350","0","-221350","-68400","NEW","2026-07-24",
"56","RAHIM BHAI CLASSIC MOTORCYCLE","Rahim Bhai Classic Motorcycle","exact","","85560","135560","50000","50000","KNOWN (Mgr diff)","2026-05-15",
"57","RANA AUTOS LANDHI","Rana Autos Landhi","exact","","358399","436399","78000","0","NEW","2026-07-31",
"58","RAZA AUTOS KORANGI","Raza Autos Korangi","exact","","63900","-41880","-105780","0","NEW","2026-07-13",
"59","RIDER AUTO PARTS","Rider Auto Parts","exact","","546714","596714","50000","0","NEW","2026-07-15",
"60","RIZWAN SUPPLIER KORANGI","Rizwan Supplier Korangi","exact","","106900.9","81181","-25719.9","0","NEW","2026-07-31",
"61","SAAD HUMAYUN TRADERS","Saad Humayun Traders","exact","","0","0","0","","AGREES","2026-03-14",""
"62","SADIQ SONS QUETTA","Sadiq Sons Quetta","exact","","0","0","0","","AGREES","2026-04-07",""
"65","SHANDAR AUTOS NAUKOT","Shandar Autos Naukot","exact","","0","0","0","","AGREES","2026-02-28",""
"67","JAMEEL AUTOS LEE MARKET","Jameel Autos Lee Market","exact","","8500","50500","42000","0","NEW","2026-07-30",
"68","ARIF AUTOS LANDHI","Arif Autos Landhi","exact","","272351","198350","-74001","0","NEW","2026-07-31",
"69","WAQAS AUTOS ISLAM CHOWK","Waqas Autos Islam Chowk","exact","","513681.5","423291.5","-90390","10000","NEW","2026-07-24",
"70","UNIQUE AUTOS LANDHI","Unique Auto Landhi","name_map","","234640","197100","-37540","0","NEW","2026-07-31",
"71","HAMZA KHAN AUTOS ORANGI TOWN","Hamza Khan Autos Orangi Town","exact","","114280","43570","-70710","9750","NEW","2026-07-28",
"72","PRINCE AUTOS SAKRO","Prince Autos Sakro","exact","","3000","3000","0","0","AGREES","2026-04-15",
"73","HUSSAIN AUTO SHAH FAISAL","Hussain Autos Shah Faisal","name_map","","222295","222295","0","7220","AGREES","2026-06-11",
"74","B.S QAZI AHMED","BS Qazi Ahmed","exact","","0","0","0","","AGREES","2026-03-30",""
"75","YASIR AUTOS SACHAL GOTH","Yasir Autos Sachal Goth","exact","","17250","4750","-12500","0","NEW","2026-07-13",
"76","ANWER ENGINERING","","","","2450","","","","NOT IN ODOO","2026-07-06",""
"77","MALIK AUTO LINES AREA","Malik Auto Lines Area","exact","","44020","24620","-19400","0","NEW","2026-07-30",
"78","MARWAT AUTO SCOUT COLONY","Marwat Autos Scout Colony","fuzzy","0.955","7050","0","-7050","","NEW","2026-07-27",""
"79","REHMAN AUTO AJMEER NAGRI","Rehman Autos Ajmer Nagri","name_map","","13810","14810","1000","-4000","NEW","2026-07-13",
"80","HUSSAIN AUTO AJMEER NAGRI","Hussain Autos Ajmer Nagri","fuzzy","0.909","30825","60825","30000","","NEW","2026-07-27",""
"81","TAYYABA AUTO SURJANI","Tayyaba Surjani","name_map","","66600","58600","-8000","0","NEW","2026-07-20",
"82","JUNAID AUTO AGRA TAJ","Junaid Autos Agra Taj","name_map","","61852","61400","-452","0","NEW","2026-07-30",
"83","SINDH KOHLI SAMARO","Sindh Kohli Samaro","exact","","25250","7000","-18250","-28250","NEW","2026-07-24",
"86","KAIZEN","","","","68530","","","","NOT IN ODOO","2026-06-29",""
"89","WAQAS TYRE TUBE ISLAM CHOWK","Waqas Tyre Tube Islam Chowk","exact","","0","-8200","-8200","","NEW","2026-06-23",""
"90","HAMMAD SURJANI","Hammad Surjani","exact","","50","50","0","0","AGREES","2026-05-07",
"91","ADNAN SURJANI 7B","Adnan Surjani 7B","exact","","350","350","0","0","AGREES","2026-05-21",
"92","OSAMA ISLAM CHOWK","Osama Islam Chowk","exact","","13710","41710","28000","0","NEW","2026-07-28",
"93","ABBAS AUTO GULLBURG","Abbas Auto Gulberg","fuzzy","0.882","0","0","0","","AGREES","2026-04-07",""
"94","SHAMS BHAI","","","","16860","","","","NOT IN ODOO","2026-07-16",""
"96","GHAZI AUTOS GOLARCHI","Ghazi Autos Golarchi","exact","","45100","18700","-26400","-26400","KNOWN (Mgr diff)","2026-07-02",
"97","BHITTAI AUTOS SAMARO","Bhittai Autos Samaro","exact","","70500","70491","-9","-9","KNOWN (Mgr diff)","2026-06-12",
"98","ASLAM AUTOS MARIPUR","Aslam Autos Maripur","exact","","165950","23600","-142350","0","NEW","2026-07-23",
"99","FAISAL AUTOS KORANGI","Faisal Autos Korangi","exact","","720","720","0","0","AGREES","2026-05-04",
"101","A.R AUTOS BAGH-E-KORANGI","A.R Autos Bagh-e-Korangi","exact","","66370","57670","-8700","-5450","NEW","2026-07-28","this is some sale return difference, all payments have been reconciled"
"102","SALEEM MAMU","Mamu","name_map","","0","5280","5280","5280","KNOWN (Mgr diff)","2026-07-07",
"103","GHOUSIA AUTO JHUDDO","Ghosia Jhudoo","name_map","","37400","37400","0","0","AGREES","2026-06-22",
"104","HAMZA AUTO MOSMIYAT","Al-Hamza Autos Mosamiyat","name_map","","45080","57280","12200","0","NEW","2026-07-29",
"105","A.H AUTO ORANGI L BLOCK","A.H Autos Orangi L Block","name_map","","7055","3705","-3350","-3000","NEW","2026-06-30","24 april 3000 payment received to be added in naveed"
"106","HASAN AUTO NAZIA SQUARE","Hasan Autos Nazia Square","fuzzy","0.952","0","0","0","","AGREES","2026-05-04",""
"107","NIZAM AUTO MAYMAR","Nizam Autos Maymar","name_map","","7650","7650","0","0","AGREES","2026-06-29",
"108","SALEEM MEMON MARKET","","","","0","","","","NOT IN ODOO","2026-01-20",""
"109","BABU AUTO SINDHI HOTEL","Babu Autos Sindhi Hotel","name_map","","109240","67290","-41950","-10000","NEW","2026-07-22",
"110","TALHA QALANDRIYA","Talha Qalandriya","exact","","0","0","0","","AGREES","2026-02-25",""
"111","HAMZA AUTO SURJANI","Hamza Autos Surjani","name_map","","15900","18400","2500","0","NEW","2026-07-13",
"112","RAJPUT AUTO SABRI CHOWK ORANGI","Rajput Autos Sabri Chowk","name_map","","190180","38900","-151280","0","NEW","2026-07-21",
"113","QALANDRI AUTO LANDHI","Qalandri Autos Landhi","name_map","","75","75","0","0","AGREES","2026-03-30",
"114","TAJ AUTO MEHRAN TOWN 1","Taj Autos Mehran Town","name_map","","26265","18815","-7450","0","NEW","2026-07-30",
"115","HONDA KARACHI PAKISTAN CHOWK","Honda Autos Karachi Pakistan Chowk","name_map","","82755","107955","25200","5200","NEW","2026-07-25",
"116","ASIF SUPPLIER ZIP 1","Bilal Supplier","name_map","","121005","98310","-22695","-10000","NEW","2026-07-30",
"117","JAFFER B CLOCK TOWER(SHOAIB)","","","","0","","","","NOT IN ODOO","2026-02-24",""
"118","OSAMA NORTH KARACHI","Osama North Karachi","exact","","-3000","-3000","0","","AGREES","2026-04-15",""
"119","KARTAR AUTO CHOUARJAMALI","Kartar Autos Chouhar Jamali","name_map","","0","7500","7500","0","NEW","2026-07-15",
"120","BHATTI AUTO GULSHAN BLK 2","Bhatti Autos Gulshan Block 2","name_map","","8300","14300","6000","0","NEW","2026-07-28",
"121","AL-KARAM AUTO MARKET","Al-Karam Auto Market","exact","","900","900","0","0","AGREES","2026-04-29",
"122","NASIR AUTO ORANGZAIB MARKET","Nasir Autos Orangzaib Market","name_map","","50","50","0","0","AGREES","2026-04-01",
"123","LUCKY AUTO WATER PUMP","Lucky Autos WaterPump","name_map","","25000","26000","1000","0","NEW","2026-07-30",
"125","MADINA AUTO SAFORA","","","","16850","","","","NOT IN ODOO","2026-08-01",""
"126","ALAM AUTO GODHRA","Alam Autos Godra","fuzzy","0.857","0","0","0","","AGREES","2026-03-04",""
"127","ZHOULI ENGINEERING","","","","184083.02","","","","NOT IN ODOO","2026-01-30",""
"128","ZAIB AUTO WATER PUMP","Zaib Autos Waterpump","name_map","","-15460","14740","30200","-25000","NEW","2026-07-21",
"129","B.S AUTO AZIZABAD","B.S Autos Azizabad","name_map","","19950","17050","-2900","0","NEW","2026-07-09",
"130","ALVI AUTO BALDIA 4 NUMBER","Alvi Autos Baldia 4 No.","name_map","","38100","38100","0","0","AGREES","2026-06-09",
"132","ADNAN AUTO FAST","Adnan Auto fast Waterpump","name_map","","215500","262700","47200","-28500","NEW","2026-07-30","invoice created on 4 may created on manager zip spoke long nipple quantity 80 value 28,500"
"133","YOUSUF AUTO SATO MAIL","Yousuf Auto Sato Mal","name_map","","40560","60560","20000","0","NEW","2026-07-24",
"134","SAEED BHAI PLAZA","Saeed Bhai Plaza","exact","","0","0","0","","AGREES","2026-02-10",""
"137","KHAN SHAHRUKH AUTO KORANGI","Khan Shahrukh Autos Korangi","name_map","","60600","5050","-55550","0","NEW","2026-07-20",
"138","ASIM BROTHERS MARKET","Asim Brothers Market","exact","","0","20800","20800","10000","NEW","2026-07-17",
"139","IQBAL AUTO BALDIA","Iqbal Autos Baldia 4 No.","name_map","","980","-6020","-7000","-7000","KNOWN (Mgr diff)","2026-06-02",
"140","MAMA A-1 GULSHAN 13D","Mama A-1 Gulshan 13-D","exact","","60","5060","5000","5000","KNOWN (Mgr diff)","2026-03-30",
"141","ALI AUTO MEHMODABAD","Ali Break Shoe Qayyumabad","name_map","","19320","13320","-6000","-15000","NEW","2026-07-17","22 may payment of 15000 not recorded by shoaib"
"142","MADINA AUTO AZIZABAD","Madina Auto Azizabad","exact","","8690","15690","7000","7000","KNOWN (Mgr diff)","2026-06-13",
"144","TAJ AUTO MEHRAN TOWN 2","Taj Autos Mehran Town No. 2","name_map","","29575","41375","11800","-3600","NEW","2026-07-30",
"145","HUMA AUTO KORANGI","Huma Autos Korangi","name_map","","1950","1950","0","0","AGREES","2026-04-30",
"146","ATTARI AUTO KORANGI","","","","-500","","","","NOT IN ODOO","2026-05-04",""
"147","JIJAL AUTO GHARO","Jijal Autos Gharo","fuzzy","0.933","0","0","0","","AGREES","2026-04-22",""
"148","IRFAN AUTO SHAH FAISAL","Irfan Auto Shah Faisal","exact","","23813","48813","25000","0","NEW","2026-07-31",
"149","SHEIKH AUTO PEHALWAN GOTH","Sheikh Auto Pehalwan Goth","exact","","97640","27640","-70000","0","NEW","2026-07-28",
"150","M UMER BADIN","M Umer Badeen","name_map","","492760","302800","-189960","0","NEW","2026-07-29",
"153","JUNAID AUTO SHAHFAISAL","Junaid Autos Shah Faisal","name_map","","85663.5","20273","-65390.5","0","NEW","2026-07-31",
"154","HAFEEZ AUTO KHAN BELA","Hafeez Autos Khan Bela","name_map","","131000","131000","0","0","AGREES","2026-06-18",
"155","HAFEEZ ENGINEERING WORKS LHR","","","","132200","","","","NOT IN ODOO","2026-07-16",""
"156","SUMAIR AUTO GOLIMAR","Sumair Autos Golimar","name_map","","84644.6","21900","-62744.6","-20000","NEW","2026-07-27",
"157","ASGHER AUTO UP","Asgher Autos UP","name_map","","119300","279300","160000","160000","KNOWN (Mgr diff)","2026-06-15",
"158","PAKISTAN AUTO QUAIDABAD","Pakistan Autos Quaidabad","name_map","","35225","28925","-6300","0","NEW","2026-07-27",
"159","WAQAS AUTO BUFFER ZONE","Waqas Autos Buffer Zone","name_map","","12175","12175","0","0","AGREES","2026-06-17",
"160","HAJI IQBAL QURESHI U.P","Haji Iqbal Qureshi Autos UP","name_map","","25000","25000","0","0","AGREES","2026-05-22",
"161","SHAYAN AUTO U.P","Shayan Autos UP","name_map","","18235","43235","25000","4450","NEW","2026-07-30",
"162","M.S MURAD ORANGI","M.S Murad Orangi","exact","","140","140","0","0","AGREES","2026-06-02",
"163","HAMID LHR","","","","8700","","","","NOT IN ODOO","2026-07-16",""
"164","STAR AUTO MAYMAR","Star Autos Maymar","name_map","","78375","27100","-51275","3100","NEW","2026-07-20",
"165","ORANGZAIB AUTO SHEDAD PUR","Orangzaib Autos Shahdadpur","fuzzy","0.875","0","0","0","","AGREES","2026-04-27",""
"166","M.A AUTO VINDER","M.A Autos Vinder","fuzzy","0.923","22650","14200","-8450","","NEW","2026-07-27",""
"167","QADRI AUTO SHAH FAISAL","Qadri Autos Shah Faisal","name_map","","30355","45355","15000","0","NEW","2026-07-31",
"168","B.S AUTO QUAIDABAD","B.S Autos Quaidabad","fuzzy","0.938","49000","101750","52750","","NEW","2026-07-30",""
"169","TAYYAB AUTO MEHMODABAD","Tayyab Autos Mehmoodabad","name_map","","1600","1600","0","0","AGREES","2026-06-29",
"170","ABDUL HADI AUTO DRIG ROAD","Abdul Hadi Autos Drig Road","name_map","","19975","31975","12000","0","NEW","2026-07-31",
"171","MAMA JAMALI AUTO BADIN","Mama Jamali Autos Badin","name_map","","14000","44000","30000","0","NEW","2026-07-27",
"172","FINAL AUTO MARKET","Final Autos Market","fuzzy","0.938","0","0","0","","AGREES","2026-04-13",""
"173","B.S AUTO FARZAN BAK KORANGI","B.S Autos Farzan Bakery Korangi","name_map","","16975","24725","7750","0","NEW","2026-07-30",
"174","FAROOQ AUTO SHAH FAISAL","Farooq Autos Shah Faisal","name_map","","12000","20000","8000","0","NEW","2026-07-17",
"175","JAPAN AUTO WATER PUMP","Japan Autos Water Pump","name_map","","1040","1040","0","0","AGREES","2026-05-25",
"176","ANSARI AUTO DASTAGIR","Ansari Autos Dastagir","name_map","","2951","15851","12900","2000","NEW","2026-07-27","2000 payment differnce not recoded by akber in manager"
"177","FARHAN AUTO WATER PUMP","Farhan Autos Water Pump","name_map","","680","1680","1000","1000","KNOWN (Mgr diff)","2026-05-07",
"178","B.S ALIYAN AUTO WATER PUMP","B.S Aliyan Autos Water Pump","name_map","","18410","41580","23170","2000","NEW","2026-07-30",
"179","A.W AUTO WATER PUMP","A.W Autos Water Pump","fuzzy","0.938","16140","8740","-7400","","NEW","2026-04-27",""
"180","ARSALAN AUTO 13D GULLSHAN","Arsalan Autos 13-D Gulshan","name_map","","0","9450","9450","0","NEW","2026-07-22",
"181","MAKKA AUTO KORANGI 3 NUMBER","Makka Autos Korangi 3 Number","name_map","","11550","26550","15000","4200","NEW","2026-07-30",
"182","SHAMA AUTO ELECTRIC W/P","Shama Autos Electric Waterpump","name_map","","1200","2200","1000","1000","KNOWN (Mgr diff)","2026-06-23",
"183","M.A AUTO LIYARI 36","M.A Autos Liyari 36","name_map","","50","50","0","0","AGREES","2026-05-06",
"184","NEW-RIYAZ AUTO LIYARI 36","New Riyaz Autos Liyari 36","name_map","","1750","1750","0","0","AGREES","2026-05-20",
"185","R.R AUTO SURJANI","R.R Autos Surjani","name_map","","58350","58350","0","0","AGREES","2026-06-13",
"186","MAMA ASHFAQ BADIN","Mama Ashfaq Badin","exact","","0","1090","1090","0","NEW","2026-07-22",
"187","NASEER AUTO VINDER","Naseer Auto Vinder","exact","","45660","31200","-14460","0","NEW","2026-07-18",
"188","ARSALAN IRSHAD LHR","","","","2600","","","","NOT IN ODOO","2026-06-08",""
"189","UBAID AUTO GULLSHAN 13D","","","","12430","","","","NOT IN ODOO","2026-07-09",""
"190","ASIF AUTO SABZI MANDI","Asif Autos Sabzi Mandi","name_map","","15975","21015","5040","3645","NEW","2026-07-20",
"191","SHAFI AUTO GULSHAN IQBAL","Shafi Auto Gulshan Iqbal","exact","","0","-10500","-10500","0","NEW","2026-07-02",
