"invno","date","ccode","cname","amount","isret"
"50004","2026-03-18","1","RETAIL SALE","500","N"
"50007","2026-04-06","1","RETAIL SALE","72","N"
"50009","2026-05-09","155","HAFEEZ ENGINEERING WORKS LHR","11600","Y"
"721","2026-06-02","83","SINDH KOHLI SAMARO","28250","N"
"50011","2026-06-10","1","RETAIL SALE","33","N"
"753","2026-06-10","317","MAST QALANDAR AUTO MATLI","15050","N"
"773","2026-06-12","28","SHOAIB AHMED ZIP 1","9500","N"
"772","2026-06-12","70","UNIQUE AUTOS LANDHI","177000","N"
"793","2026-06-16","53","NOORANI AUTOS BADIN","68400","N"
"794","2026-06-16","325","ARYAN AUTO SUJAWAL","45000","N"
"792","2026-06-16","96","GHAZI AUTOS GOLARCHI","26400","N"
"811","2026-06-18","332","ALTAF HAIR DRESER","9650","N"
"50012","2026-06-19","1","RETAIL SALE","370","N"
"834","2026-06-27","213","YOUSUF AUTO GULLSHAN 13D","13770","N"
"50015","2026-06-29","86","KAIZEN","68530","Y"
"844","2026-06-29","267","HAFIZ AUTO PEHALWAN GOTH","8800","N"
"850","2026-06-29","25","AZAN AUTO BADIN","1","N"
"845","2026-06-29","192","SUBHAN AUTO GULSHAN 13D","5250","N"
"843","2026-06-29","270","SARWAR AUTO PEOPELS CHOWRANGI","25360","N"
"854","2026-06-30","116","ASIF SUPPLIER ZIP 1","7740","N"
"859","2026-07-01","168","B.S AUTO QUAIDABAD","99000","N"
"50016","2026-07-06","76","ANWER ENGINERING","2450","Y"
"866","2026-07-06","267","HAFIZ AUTO PEHALWAN GOTH","7000","N"
"879","2026-07-07","70","UNIQUE AUTOS LANDHI","171000","N"
"887","2026-07-08","216","M/S AUTO 13D W/RIM","8400","N"
"886","2026-07-08","215","M/S AUTO GULLSHAN 13D","14450","N"
"890","2026-07-09","192","SUBHAN AUTO GULSHAN 13D","7600","N"
"893","2026-07-09","132","ADNAN AUTO FAST","22800","N"
"891","2026-07-09","213","YOUSUF AUTO GULLSHAN 13D","3620","N"
"901","2026-07-11","47","MASHOOD SUPPLIER","3800","N"
"907","2026-07-11","192","SUBHAN AUTO GULSHAN 13D","5200","N"
"915","2026-07-13","321","NASEER AUTO LIYARI 36","70034","N"
"911","2026-07-13","58","RAZA AUTOS KORANGI","13100","N"
"910","2026-07-13","36","HADIA K1 NORTH NAZIMABAD","5250","N"
"908","2026-07-13","347","S.K AUTO PEHALWAN GOTH","5800","N"
"912","2026-07-13","222","M.A AUTO UP","297043.5","N"
"909","2026-07-13","348","MUKHTAR AUTO KAMRAN CHORANGI","20650","N"
"914","2026-07-13","68","ARIF AUTOS LANDHI","88351","N"
"913","2026-07-13","153","JUNAID AUTO SHAHFAISAL","43650","N"
"916","2026-07-14","164","STAR AUTO MAYMAR","66275","N"
"918","2026-07-14","349","SALEEM AUTO HASNABAD","23700","N"
"917","2026-07-14","281","SUBHAN ALLAH AUTO SACHAL","50000","N"
"919","2026-07-14","308","SHAN AUTO MALIR","12550","N"
"921","2026-07-14","153","JUNAID AUTO SHAHFAISAL","20176","N"
"920","2026-07-14","116","ASIF SUPPLIER ZIP 1","11200","N"
"933","2026-07-15","243","KAZIM AUTO BAG E KORANGI","99546.25","N"
"934","2026-07-15","350","HUZAIFA AUTO KORANGI 5/1","22400","N"
"50017","2026-07-15","1","RETAIL SALE","124800","N"
"932","2026-07-15","287","HAFEEZ AUTO GHAZI GOTH","36000","N"
"925","2026-07-15","153","JUNAID AUTO SHAHFAISAL","26190","N"
"926","2026-07-15","222","M.A AUTO UP","26190","N"
"927","2026-07-15","69","WAQAS AUTOS ISLAM CHOWK","26190","N"
"922","2026-07-15","71","HAMZA KHAN AUTOS ORANGI TOWN","138710","N"
"923","2026-07-15","150","M UMER BADIN","354960","N"
"924","2026-07-15","68","ARIF AUTOS LANDHI","26190","N"
"930","2026-07-15","132","ADNAN AUTO FAST","25000","N"
"931","2026-07-15","231","STAR AUTO MALIR","30450","N"
"928","2026-07-15","82","JUNAID AUTO AGRA TAJ","26190","N"
"929","2026-07-15","70","UNIQUE AUTOS LANDHI","26190","N"
"50020","2026-07-16","163","HAMID LHR","8700","Y"
"50018","2026-07-16","94","SHAMS BHAI","16860","Y"
"50019","2026-07-16","155","HAFEEZ ENGINEERING WORKS LHR","120600","Y"
"935","2026-07-16","295","SIDDIQUE AUTO BILAL COLONY","17100","N"
"936","2026-07-16","173","B.S AUTO FARZAN BAK KORANGI","19250","N"
"937","2026-07-16","25","AZAN AUTO BADIN","79150","N"
"938","2026-07-16","158","PAKISTAN AUTO QUAIDABAD","16050","N"
"939","2026-07-17","351","QASIM AUTO HUB CHOWKI","56700","N"
"940","2026-07-17","60","RIZWAN SUPPLIER KORANGI","108319.9","N"
"941","2026-07-17","70","UNIQUE AUTOS LANDHI","18650","N"
"944","2026-07-17","178","B.S ALIYAN AUTO WATER PUMP","5850","N"
"943","2026-07-17","216","M/S AUTO 13D W/RIM","16800","N"
"942","2026-07-17","215","M/S AUTO GULLSHAN 13D","7750","N"
"948","2026-07-18","187","NASEER AUTO VINDER","14100","N"
"947","2026-07-18","351","QASIM AUTO HUB CHOWKI","12300","N"
"946","2026-07-18","352","K.K AUTO RABIA CITY W/RIM","16800","N"
"945","2026-07-18","285","K.K AUTO RABIA CITY","35550.5","N"
"950","2026-07-20","153","JUNAID AUTO SHAHFAISAL","15374.5","N"
"956","2026-07-20","235","QUETTA AUTO BHAINS COLONY","25200","N"
"949","2026-07-20","26","AZAN AUTOS JIMMY LANDHI","101122.5","N"
"957","2026-07-20","299","HASHTAG TRADERS LANDHI 6","53000","N"
"959","2026-07-20","137","KHAN SHAHRUKH AUTO KORANGI","55550","N"
"958","2026-07-20","266","MADNI AUTO PEHALWAN GOTH","25940","N"
"951","2026-07-20","156","SUMAIR AUTO GOLIMAR","78744.6","N"
"954","2026-07-20","338","REHMAN AUTO JANJAL GOTH","39300","N"
"955","2026-07-20","220","SHAFI AUTO MEMON GOTH","18400","N"
"960","2026-07-20","353","MUNAWWAR AUTO MALIR","16900","N"
"952","2026-07-20","228","KHALIL AUTO RABIA CITY","27500","N"
"953","2026-07-20","253","IZZAT AGA AUTO RABIA CITY","50250","N"
"961","2026-07-21","273","RIZWAN AUTO MALIR","32700","N"
"962","2026-07-21","320","SHAHZAD AUTO GAWADAR","118560","N"
"967","2026-07-22","116","ASIF SUPPLIER ZIP 1","10005","N"
"965","2026-07-22","109","BABU AUTO SINDHI HOTEL","61950","N"
"964","2026-07-22","336","DEEWAN AUTO SHAH FAISAL","15500","N"
"966","2026-07-22","217","BISMILLAH AUTO WATER PUMP","55900","N"
"963","2026-07-22","292","AL-REHMAN AUTO MALIR","10500","N"
"972","2026-07-23","287","HAFEEZ AUTO GHAZI GOTH","18090","N"
"969","2026-07-23","98","ASLAM AUTOS MARIPUR","157350","N"
"970","2026-07-23","343","RAZA AUTO PANGRIO","64830","N"
"971","2026-07-23","220","SHAFI AUTO MEMON GOTH","6750","N"
"968","2026-07-23","330","MADINA AUTO QUAIDABAD","21050","N"
"973","2026-07-24","53","NOORANI AUTOS BADIN","152950","N"
"975","2026-07-24","101","A.R AUTOS BAGH-E-KORANGI","15500","N"
"974","2026-07-24","242","KING AUTO BEHAR COLONY","13400","N"
"976","2026-07-25","14","ZIP","50460","N"
"981","2026-07-27","289","GHAZI AUTO PEHALWAN GOTH","8000","N"
"984","2026-07-27","51","NEW KAKAR AUTOS PIDC","26400","N"
"983","2026-07-27","356","AMAN AUTO SADI TOWN","104032.5","N"
"986","2026-07-27","70","UNIQUE AUTOS LANDHI","20000","N"
"985","2026-07-27","166","M.A AUTO VINDER","8450","N"
