"cashno","date","ccode","cname","amount","remarks"
"401","2025-10-01","23","AMJAD NOOR","22500",""
"3","2025-11-13","61","SAAD HUMAYUN TRADERS","14920",""
"13","2025-12-06","25","AZAN AUTO BADIN","2000",""
"10","2025-12-06","25","AZAN AUTO BADIN","48000",""
"11","2025-12-11","25","AZAN AUTO BADIN","30000",""
"14","2025-12-11","25","AZAN AUTO BADIN","20000",""
"56","2026-01-07","34","F.A AUTOS THATTA","38800",""
"103","2026-01-20","28","SHOAIB AHMED ZIP 1","1000",""
"87","2026-01-20","108","SALEEM MEMON MARKET","800","DISCOUNT EXP"
"92","2026-01-21","20","ALI AUTOS ISLAM CHOWK","10000",""
"95","2026-01-22","82","JUNAID AUTO AGRA TAJ","10000",""
"107","2026-01-26","27","B.S BAKHTAWAR GOTH","15000",""
"110","2026-01-26","26","AZAN AUTOS JIMMY LANDHI","15000",""
"126","2026-01-29","90","HAMMAD SURJANI","5000",""
"169","2026-01-30","59","RIDER AUTO PARTS","100000",""
"141","2026-02-02","37","HANIF SUPPLIER","1280",""
"137","2026-02-02","27","B.S BAKHTAWAR GOTH","6800",""
"138","2026-02-02","107","NIZAM AUTO MAYMAR","1820",""
"139","2026-02-02","75","YASIR AUTOS SACHAL GOTH","10900",""
"140","2026-02-02","29","BILAL WHEEL THROUGH SACHAL","14200",""
"173","2026-02-09","118","OSAMA NORTH KARACHI","3000",""
"177","2026-02-10","69","WAQAS AUTOS ISLAM CHOWK","40000",""
"199","2026-02-12","57","RANA AUTOS LANDHI","20000",""
"201","2026-02-12","51","NEW KAKAR AUTOS PIDC","8700",""
"200","2026-02-12","58","RAZA AUTOS KORANGI","10000",""
"246","2026-02-26","20","ALI AUTOS ISLAM CHOWK","20000",""
"247","2026-02-26","115","HONDA KARACHI PAKISTAN CHOWK","20000",""
"289","2026-03-05","123","LUCKY AUTO WATER PUMP","10000",""
"328","2026-03-12","82","JUNAID AUTO AGRA TAJ","15000",""
"341","2026-03-14","61","SAAD HUMAYUN TRADERS","6389",""
"396","2026-03-19","178","B.S ALIYAN AUTO WATER PUMP","2000",""
"395","2026-03-19","179","A.W AUTO WATER PUMP","2000",""
"407","2026-03-20","148","IRFAN AUTO SHAH FAISAL","10000",""
"408","2026-03-20","167","QADRI AUTO SHAH FAISAL","5000",""
"409","2026-03-20","59","RIDER AUTO PARTS","100000",""
"406","2026-03-20","170","ABDUL HADI AUTO DRIG ROAD","3000",""
"402","2026-03-20","71","HAMZA KHAN AUTOS ORANGI TOWN","20000",""
"403","2026-03-20","82","JUNAID AUTO AGRA TAJ","15000",""
"404","2026-03-20","68","ARIF AUTOS LANDHI","20000",""
"416","2026-03-25","176","ANSARI AUTO DASTAGIR","1000",""
"411","2026-03-25","73","HUSSAIN AUTO SHAH FAISAL","200000",""
"435","2026-03-27","177","FARHAN AUTO WATER PUMP","1000",""
"449","2026-03-28","20","ALI AUTOS ISLAM CHOWK","19000",""
"448","2026-03-28","20","ALI AUTOS ISLAM CHOWK","42000",""
"468","2026-03-30","142","MADINA AUTO AZIZABAD","7000",""
"465","2026-03-30","74","B.S QAZI AHMED","36000",""
"456","2026-03-30","203","MASHALLAH WATER PUMP W/RIM","25000",""
"480","2026-03-31","104","HAMZA AUTO MOSMIYAT","49000",""
