#,Manager Name,Manager Balance,Naveed Name,Naveed Balance,Difference (Nav − Mgr),Names Match?,Possible Spelling Correction (Naveed → Manager),Status
1,A-One Auto Naukot,65200,A-One Auto Nukot,65200,0,No,A-One Auto Naukot,Exact match
2,A.H Autos Orangi L Block,5805,A.H Auto Orangi L Block,8805,3000,No,A.H Autos Orangi L Block,Balance differs,24 april 3000 payment received to be added in naveed
3,A.M Autos Malir,15190,A.M Auto Malir,13610,-1580,No,A.M Autos Malir,Balance differs,1580 payment missing from manager made on 15 june
4,A.R Autos Bagh-e-Korangi (Wheel Rim),8400,A.R Auto Korangi W/Rim,8400,0,No,A.R Autos Bagh-e-Korangi (Wheel Rim),Exact match
5,A.R Autos Bagh-e-Korangi,44570,A.R Autos Bagh-E-Korangi,50020,5450,Yes,A.R Autos Bagh-e-Korangi,Balance differs,"this is some sale return difference, all payments have been reconciled"
6,Abdul Hadi Autos Drig Road,40975,Abdul Hadi Auto Drig Road,40975,0,No,Abdul Hadi Autos Drig Road,Exact match
7,Abid Autos Gulshan 13-D,23930,Abid Auto Gullshan 13d,23930,0,No,Abid Autos Gulshan 13-D,Exact match
8,Abid Autos Lucky Star,28550,Abid Auto Lucky Star,28550,0,No,Abid Autos Lucky Star,Exact match
9,Adnan Auto fast Waterpump,277750,Adnan Auto Fast,306250,28500,No,Adnan Auto fast Waterpump,Balance differs,"invoice created on 4 may created on manager zip spoke long nipple quantity 80 value 28,500"
10,Adnan Surjani 7B,350,Adnan Surjani 7b,350,0,Yes,Adnan Surjani 7B,Exact match
11,Ahmed Raza Autos Rehmania Mor,21210,Ahmed Raza Autos Rehmania Mor,21210,0,Yes,,Exact match
12,Ahmed Raza Autos Rehmania Mor (Wheel Rim),25950,Ahmed Raza Rehmania W/Rim,25950,0,No,Ahmed Raza Autos Rehmania Mor (Wheel Rim),Exact match
13,Ahsan Autos Pehalwan Goth,5250,Ahsan Auto Pehalwan Goth,5250,0,No,Ahsan Autos Pehalwan Goth,Exact match
14,Ajmeri Autos Sindhi Hotel,19125,Ajmeri Auto Sindhi Hotel,19125,0,No,Ajmeri Autos Sindhi Hotel,Exact match
15,Al-Haj Auto Mansehra Colony,5300,Al-Haj Auto Mansera Colony,10300,5000,No,Al-Haj Auto Mansehra Colony,Balance differs,23 June payment of 5000 not recorded by Shoaib
16,Al-Karam Auto Market,900,Al-Karam Auto Market,900,0,Yes,,Exact match
17,Al-Madina Autos Water Pump,26000,Al-Madina Auto Water Pump,26000,0,No,Al-Madina Autos Water Pump,Exact match
18,Al-Rehman Auto Malir,9000,Al-Rehman Auto Malir,5000,-4000,Yes,,Balance differs,26 may payment of 4000 not recorded by akber
19,Ali Autos Islam Chowk (Wheel Rim),160000,Ali Auto Islam Chowk W/Rim,160000,0,No,Ali Autos Islam Chowk (Wheel Rim),Exact match
20,Ali Break Shoe Qayyumabad,31320,Ali Auto Mehmodabad,46320,15000,No,Ali Break Shoe Qayyumabad,Balance differs,22 may payment of 15000 not recorded by shoaib
21,Ali Autos Islam Chowk,87185,Ali Autos Islam Chowk,87185,0,Yes,,Exact match
22,Ali Break Shoe Qayyumabad (Wheel Rim),1780,Ali Mehmodabad Wheel Rim,1780,0,No,Ali Break Shoe Qayyumabad (Wheel Rim),Exact match
23,(not in Manager),,Altaf Hair Dreser,9650,,—,,Not in Manager
24,Alvi Autos Baldia 4 No.,38100,Alvi Auto Baldia 4 Number,38100,0,No,Alvi Autos Baldia 4 No.,Exact match
25,Amjad Noor,-9305,Amjad Noor,6550,15855,Yes,,Sign diff (Cr in Mgr)
26,Ansari Autos Dastagir,15851,Ansari Auto Dastagir,13851,-2000,No,Ansari Autos Dastagir,Balance differs,2000 payment differnce not recoded by akber in manager
27,Arif Autos Rahim Yar Khan,5000,Arif Auto Rahim Yar Khan,5580,580,No,Arif Autos Rahim Yar Khan,Balance differs
