pcode,pname,pack_name,category_id,sale_rate_pack,active
17,Lock C-Long 50 mm,Pack,1,1.0,Y
20,Rider Sprocket 15-T Black Powder Coating 8 Per Khapa Half Pr,Pack,1,1.0,Y
21,Rider Sprocket 38-T Black Powder Coating 8 Per Khapa Half Pr,Pack,1,1.0,Y
24,Spoke 2.50-17,Pack,1,1.0,Y
25,Spoke 300-17 Long Nipple,Pack,1,1.0,Y
31,ZIP ATF 1L,Pack,1,1.0,Y
32,ZIP Battery,Pack,1,1.0,Y
34,ZIP Gear Oil 1 Litre,Pack,1,1.0,Y
38,ZIP Sprocket 15-T Black Powder Coating 8 Per Khapa Half Pres,Pack,1,1.0,Y
39,ZIP Sprocket 38-T Black Powder Coating 8 Per Khapa Half Pres,Pack,1,1.0,Y
41,Lock C-Long 30 mm,Pack,1,1.0,Y
44,Dachi Engine Oil 700 ML Carton (BLACK),Pack,1,1.0,Y
45,Dachi Engine Oil 700 ML Carton (RED),Pack,1,1.0,Y
46,ZIP 1 CHAIN KIT GOLD 38-15 CD-70,Pack,1,1.0,Y
47,ZIP 1 CHAIN KIT RED 38-15 CD-70,Pack,1,1.0,Y
48,ZIP 1 CHAIN KIT RED 41-14 CD-70,Pack,1,1.0,Y
49,ZIP Spoke 2.25-17,Pack,1,1.0,Y
50,ZIP Spoke 2.50-17,Pack,1,1.0,Y
51,ZIP Spoke 300-17 Long Nipple,Pack,21,1.0,Y
52,Piston Kit STD,Pack,1,1.0,Y
53,Piston Kit 0.50,Pack,1,1.0,Y
54,Piston Kit 1.00,Pack,1,1.0,Y
55,Piston Kit 1.50,Pack,1,1.0,Y
57,ZIP 1 CHAIN KIT Gold 41-14 CD-70,Pack,21,1.0,Y
60,CHAIN COVER 0.6MM ZIP 1,Pack,21,1.0,Y
61,Carburetor PZ-22,Pack,1,1.0,Y
64,Clutch presur plate set zip 1,Pack,1,1.0,Y
65,Clutch plate FCC CD-70 Set,Pack,1,1.0,Y
66,Clutch plate CD-70 Green Set,Pack,1,1.0,Y
67,ZIP Chain cover 0.6mm,Pack,1,1.0,Y
69,ZIP Carburetor PZ-22,Pack,1,1.0,Y
71,ZIP 1 Clutch Plate Set CD-70 Green,Pack,1,1.0,Y
86,ZIP 1 GOLD CHAIN KIT CG-125,Pack,1,1.0,Y
87,ZIP 1 GOLD CHAIN KIT 45-14 YBR,Pack,1,1.0,Y
88,ZIP 1 GOLD CHAIN KIT 43-15 SUZUKI JS 150CC,Pack,1,1.0,Y
89,ZIP 1 GOLD CHAIN KIT 43-14 PRIDOR 100CC,Pack,1,1.0,Y
90,ZIP 1 GOLD CHAIN KIT 35-14 SUZUKI 110CC,Pack,1,1.0,Y
91,Chimta Bush CD-70,Pack,1,1.0,Y
93,ZIP Chimta Bush CD-70,Pack,1,1.0,Y
94, SPARK PLUG C7HSA CHINA,Pack,21,1.0,Y
95,ZIP 1 PUSH LOCK,Pack,21,1.0,Y
96,ZIP 1HEAD COMPLETE EURO,Pack,21,1.0,Y
97,WHEEL RIM SET,Pack,21,1.0,Y
