invno,invdate,ccode,line_no,pcode,pname,qty,uprice,line_gross
10,2025-10-10,6,1,41,Lock C-Long 30 mm,100,170,17000
11,2025-10-20,11,1,32,ZIP Battery,120,830,99600
12,2025-10-22,3,1,20,Rider Sprocket 15-T Black Powder Coating 8 Per Khapa Half Pr,300,85,25500
12,2025-10-22,3,2,21,Rider Sprocket 38-T Black Powder Coating 8 Per Khapa Half Pr,300,260,78000
13,2025-10-25,6,1,41,Lock C-Long 30 mm,10,170,1700
13,2025-10-25,6,2,17,Lock C-Long 50 mm,80,285,22800
14,2025-11-08,14,1,26,Spoke/Chain Packing theli (ZIP),2520,4.81,12121.2
14,2025-11-08,14,2,26,Spoke/Chain Packing theli (ZIP),10260,4.81,49350.6
15,2025-11-10,10,1,14,Chain Kit ZIP 1 Carton,600,95,57000
16,2025-11-10,13,1,6,Brake Shoe Extra Grip ZIP,1900,122,231800
17,2025-11-11,4,1,24,Spoke 2.50-17,122,235,28670
17,2025-11-11,4,2,25,Spoke 300-17 Long Nipple,240,297.5,71400
18,2025-11-11,5,1,22,Rocker Set CD 70,400,255,102000
18,2025-11-11,5,2,8,Camshaft JH70,400,345,138000
18,2025-11-11,5,3,16,Gear Transmission CD 70,300,1080,324000
19,2025-11-12,10,1,12,Chain Kit ZIP 1 Box Gold,2170,28,60760
19,2025-11-12,10,2,13,Chain Kit ZIP 1 Box Red,2170,28,60760
20,2025-11-12,3,1,21,Rider Sprocket 38-T Black Powder Coating 8 Per Khapa Half Pr,300,260,78000
20,2025-11-12,3,2,20,Rider Sprocket 15-T Black Powder Coating 8 Per Khapa Half Pr,300,85,25500
21,2025-11-13,12,1,31,ZIP ATF 1L,20,4450,89000
22,2025-11-14,13,1,7,Brake Shoe Gold ZIP,1800,127,228600
23,2025-11-26,4,1,24,Spoke 2.50-17,340,230,78200
23,2025-11-26,4,2,25,Spoke 300-17 Long Nipple,600,292.5,175500
23,2025-11-26,4,3,23,Spoke 2.25-17,240,220,52800
24,2025-11-26,13,1,33,ZIP Brake Shoe Gold w/o Packing,2100,122.5,257250
25,2025-12-03,4,1,25,Spoke 300-17 Long Nipple,840,292.5,245700
26,2025-12-04,3,1,39,ZIP Sprocket 38-T Black Powder Coating 8 Per Khapa Half Pres,200,260,52000
26,2025-12-04,3,2,38,ZIP Sprocket 15-T Black Powder Coating 8 Per Khapa Half Pres,200,85,17000
26,2025-12-04,3,3,40,ZIP Sprocket 41-T Black Powder Coating 8 Per Khapa Half Pres,100,260,26000
26,2025-12-04,3,4,37,ZIP Sprocket 14-T Black Powder Coating 8 Per Khapa Half Pres,100,85,8500
26,2025-12-04,3,5,10,Chain 420-104L ODT (ZIP),200,430,86000
26,2025-12-04,3,6,11,Chain Heavy Duty 420H-104L ODT (ZIP),100,520,52000
30,2025-12-12,3,1,39,ZIP Sprocket 38-T Black Powder Coating 8 Per Khapa Half Pres,340,260,88400
30,2025-12-12,3,2,38,ZIP Sprocket 15-T Black Powder Coating 8 Per Khapa Half Pres,340,85,28900
30,2025-12-12,3,3,11,Chain Heavy Duty 420H-104L ODT (ZIP),340,520,176800
31,2025-12-15,14,1,59,Packing Chain Cover 0.6 mm (ZIP),474,35,16590
32,2025-12-15,76,1,60,CHAIN COVER 0.6MM ZIP 1,474,480,227520
33,2025-12-18,3,1,57,ZIP 1 CHAIN KIT Gold 41-14 CD-70,520,260,135200
33,2025-12-18,3,2,37,ZIP Sprocket 14-T Black Powder Coating 8 Per Khapa Half Pres,520,85,44200
33,2025-12-18,3,3,11,Chain Heavy Duty 420H-104L ODT (ZIP),210,520,109200
33,2025-12-18,3,4,10,Chain 420-104L ODT (ZIP),310,430,133300
34,2025-12-18,3,1,39,ZIP Sprocket 38-T Black Powder Coating 8 Per Khapa Half Pres,300,260,78000
34,2025-12-18,3,2,38,ZIP Sprocket 15-T Black Powder Coating 8 Per Khapa Half Pres,300,85,25500
34,2025-12-18,3,3,11,Chain Heavy Duty 420H-104L ODT (ZIP),490,520,254800
34,2025-12-18,3,4,40,ZIP Sprocket 41-T Black Powder Coating 8 Per Khapa Half Pres,190,260,49400
34,2025-12-18,3,5,37,ZIP Sprocket 14-T Black Powder Coating 8 Per Khapa Half Pres,190,85,16150
35,2025-12-19,4,1,25,Spoke 300-17 Long Nipple,400,292.5,117000
35,2025-12-19,4,2,24,Spoke 2.50-17,400,230,92000
37,2025-12-20,87,1,61,Carburetor PZ-22,150,1580,237000
38,2025-12-08,88,1,52,Piston Kit STD,600,313,187800
38,2025-12-08,88,2,53,Piston Kit 0.50,700,313,219100
38,2025-12-08,88,3,54,Piston Kit 1.00,400,313,125200
38,2025-12-08,88,4,55,Piston Kit 1.50,700,313,219100
40,2025-11-08,14,1,26,Spoke/Chain Packing theli (ZIP),3240,4.81,15584.4
40,2025-11-08,14,2,27,Sprocket Packing theli (ZIP) Big,2035,7.86,15995.1
40,2025-11-08,14,3,28,Sprocket Packing theli (ZIP) Small,3840,1.8,6912
41,2025-12-08,14,1,63,POLY BAG CLUTCH PLATE CD-70,74,2,148
42,2025-12-08,86,1,64,Clutch presur plate set zip 1,77,100,7700
42,2025-12-08,86,2,65,Clutch plate FCC CD-70 Set,78,140,10920
