invno,invdate,ccode,supplier,is_return,supplier_inv_no,supplier_inv_date,remarks,freight,amount
10,2025-10-10,6,GRANDTECH,N,,,,0,17000
11,2025-10-20,11,SHAHID BATTERY,N,,,,0,99600
12,2025-10-22,3,A.R.S SPROCKET,N,,,,0,103500
13,2025-10-25,6,GRANDTECH,N,,,,0,24500
14,2025-11-08,14,ZIP,N,,,SENT TO SPOKE LAHORE,0,61471.8
15,2025-11-10,10,RASHID PRINTER,N,,,,0,57000
16,2025-11-10,13,WELCOME BMS BRAKESHOE,N,,,,0,231800
17,2025-11-11,4,AHMED SPOKE LAHORE,N,,,,0,100070
18,2025-11-11,5,ARIF ENTERPRISES,N,,,,0,564000
19,2025-11-12,10,RASHID PRINTER,N,,,,0,121520
20,2025-11-12,3,A.R.S SPROCKET,N,,,,0,103500
21,2025-11-13,12,UNIVERSAL OIL,N,,,,0,89000
22,2025-11-14,13,WELCOME BMS BRAKESHOE,N,,,,0,228600
23,2025-11-26,4,AHMED SPOKE LAHORE,N,,,,0,306500
24,2025-11-26,13,WELCOME BMS BRAKESHOE,N,,,,0,257250
25,2025-12-03,4,AHMED SPOKE LAHORE,N,,,,0,245700
26,2025-12-04,3,A.R.S SPROCKET,N,,,"200 CHAIN KIT PACKING EXPENSE, 100 CHAIN KIT PACKING EXPENSE (WITH CARTON THELI)",9500,241500
29,2025-12-05,3,A.R.S SPROCKET,N,,,,0,
30,2025-12-12,3,A.R.S SPROCKET,N,,,340 CHAIN KIT PACKING EXPENSE (WITH CARTON THELI),11900,294100
31,2025-12-15,14,ZIP,N,,,,0,16590
32,2025-12-15,76,ANWER ENGINERING,N,,,,0,227520
33,2025-12-18,3,A.R.S SPROCKET,N,,,"210 CHAIN KIT PACKING EXPENSE WITH CARTON THELI, 310 CHAIN KIT PACKING EXPENSE",16650,421900
34,2025-12-18,3,A.R.S SPROCKET,N,,,"490 CHAIN KIT PACKING EXPENSE WITH THELI 17,150",17150,423850
35,2025-12-19,4,AHMED SPOKE LAHORE,N,,,,0,209000
36,2025-12-20,1,RETAIL SALE,N,,,,0,
37,2025-12-20,87,CARBURETOR,N,,,,0,237000
38,2025-12-08,88,AHSAN JALIL,N,,,,0,751200
40,2025-11-08,14,ZIP,N,,,SENT TO A.R.S,0,38491.5
41,2025-12-08,14,ZIP,N,,,,0,148
42,2025-12-08,86,KAIZEN,N,,,,0,26495
43,2025-12-20,14,ZIP,N,,,,0,3750
44,2025-12-22,95,5M PACKAGES,N,,,,0,42700
45,2025-12-26,3,A.R.S SPROCKET,N,,,110 CHAIN KIT PACKING EXPENSE WITH CARTON THELI,3850,136000
46,2026-01-19,88,AHSAN JALIL,N,,,,0,372000
